Name:,123
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_130614
2019/10/27 13:06:14:704,0,5.51
2019/10/27 13:06:14:724,20,5.5
2019/10/27 13:06:14:744,40,5.49
2019/10/27 13:06:14:764,60,5.48
2019/10/27 13:06:14:784,80,5.48
2019/10/27 13:06:14:804,100,5.48
2019/10/27 13:06:14:824,120,5.49
2019/10/27 13:06:14:844,140,5.49
2019/10/27 13:06:14:864,160,5.5
2019/10/27 13:06:14:884,180,5.53
2019/10/27 13:06:14:904,200,5.55
2019/10/27 13:06:14:924,220,5.58
2019/10/27 13:06:14:944,240,5.61
2019/10/27 13:06:14:964,260,5.63
2019/10/27 13:06:14:984,280,5.65
2019/10/27 13:06:15:004,300,5.67
2019/10/27 13:06:15:024,320,5.68
2019/10/27 13:06:15:044,340,5.69
2019/10/27 13:06:15:064,360,5.72
2019/10/27 13:06:15:084,380,5.77
2019/10/27 13:06:15:104,400,5.83
2019/10/27 13:06:15:124,420,5.91
2019/10/27 13:06:15:144,440,5.98
2019/10/27 13:06:15:164,460,6.05
2019/10/27 13:06:15:184,480,6.12
2019/10/27 13:06:15:204,500,6.15
2019/10/27 13:06:15:224,520,6.19
2019/10/27 13:06:15:244,540,6.18
2019/10/27 13:06:15:264,560,6.18
2019/10/27 13:06:15:284,580,6.16
2019/10/27 13:06:15:304,600,6.12
2019/10/27 13:06:15:324,620,6.06
2019/10/27 13:06:15:344,640,5.99
2019/10/27 13:06:15:364,660,5.92
2019/10/27 13:06:15:384,680,5.85
2019/10/27 13:06:15:404,700,5.8
2019/10/27 13:06:15:424,720,5.87
2019/10/27 13:06:15:444,740,6
2019/10/27 13:06:15:464,760,6.3
2019/10/27 13:06:15:484,780,6.69
2019/10/27 13:06:15:504,800,7.2
2019/10/27 13:06:15:524,820,7.79
2019/10/27 13:06:15:544,840,8.42
2019/10/27 13:06:15:564,860,9.03
2019/10/27 13:06:15:584,880,9.62
2019/10/27 13:06:15:604,900,10.14
2019/10/27 13:06:15:624,920,10.55
2019/10/27 13:06:15:644,940,10.84
2019/10/27 13:06:15:664,960,11
2019/10/27 13:06:15:684,980,11.02
2019/10/27 13:06:15:704,1000,10.93
2019/10/27 13:06:15:724,1020,10.7
2019/10/27 13:06:15:744,1040,10.39
2019/10/27 13:06:15:764,1060,9.99
2019/10/27 13:06:15:784,1080,9.54
2019/10/27 13:06:15:804,1100,9.08
2019/10/27 13:06:15:824,1120,8.63
2019/10/27 13:06:15:844,1140,8.23
2019/10/27 13:06:15:864,1160,7.91
2019/10/27 13:06:15:884,1180,7.68
2019/10/27 13:06:15:904,1200,7.54
2019/10/27 13:06:15:924,1220,7.43
2019/10/27 13:06:15:944,1240,7.4
2019/10/27 13:06:15:964,1260,7.37
2019/10/27 13:06:15:984,1280,7.39
2019/10/27 13:06:16:004,1300,7.42
2019/10/27 13:06:16:024,1320,7.44
2019/10/27 13:06:16:044,1340,7.47
2019/10/27 13:06:16:064,1360,7.52
2019/10/27 13:06:16:084,1380,7.54
2019/10/27 13:06:16:104,1400,7.55
2019/10/27 13:06:16:124,1420,7.54
2019/10/27 13:06:16:144,1440,7.52
2019/10/27 13:06:16:164,1460,7.47
2019/10/27 13:06:16:184,1480,7.41
2019/10/27 13:06:16:204,1500,7.32
2019/10/27 13:06:16:224,1520,7.22
2019/10/27 13:06:16:244,1540,7.09
2019/10/27 13:06:16:264,1560,6.96
2019/10/27 13:06:16:284,1580,6.82
2019/10/27 13:06:16:304,1600,6.69
2019/10/27 13:06:16:324,1620,6.56
2019/10/27 13:06:16:344,1640,6.44
2019/10/27 13:06:16:364,1660,6.31
2019/10/27 13:06:16:384,1680,6.21
2019/10/27 13:06:16:404,1700,6.12
2019/10/27 13:06:16:424,1720,6.08
2019/10/27 13:06:16:444,1740,6.04
2019/10/27 13:06:16:464,1760,6.01
2019/10/27 13:06:16:484,1780,5.97
2019/10/27 13:06:16:504,1800,5.94
2019/10/27 13:06:16:524,1820,5.93
2019/10/27 13:06:16:544,1840,5.92
2019/10/27 13:06:16:564,1860,5.91
2019/10/27 13:06:16:584,1880,5.94
2019/10/27 13:06:16:604,1900,5.96
2019/10/27 13:06:16:624,1920,6.02
2019/10/27 13:06:16:644,1940,6.1
2019/10/27 13:06:16:664,1960,6.18
2019/10/27 13:06:16:684,1980,6.27
2019/10/27 13:06:16:704,2000,6.39
2019/10/27 13:06:16:724,2020,6.51
2019/10/27 13:06:16:744,2040,6.64
2019/10/27 13:06:16:764,2060,6.78
2019/10/27 13:06:16:784,2080,6.89
2019/10/27 13:06:16:804,2100,6.97
2019/10/27 13:06:16:824,2120,7.04
2019/10/27 13:06:16:844,2140,7.11
2019/10/27 13:06:16:864,2160,7.24
2019/10/27 13:06:16:884,2180,7.43
2019/10/27 13:06:16:904,2200,7.69
2019/10/27 13:06:16:924,2220,8.06
2019/10/27 13:06:16:944,2240,8.46
2019/10/27 13:06:16:964,2260,8.97
2019/10/27 13:06:16:984,2280,9.51
2019/10/27 13:06:17:004,2300,10.07
2019/10/27 13:06:17:024,2320,10.66
2019/10/27 13:06:17:044,2340,11.26
2019/10/27 13:06:17:064,2360,11.9
2019/10/27 13:06:17:084,2380,12.47
2019/10/27 13:06:17:104,2400,12.96
2019/10/27 13:06:17:124,2420,13.34
2019/10/27 13:06:17:144,2440,13.64
2019/10/27 13:06:17:164,2460,13.83
2019/10/27 13:06:17:184,2480,13.9
2019/10/27 13:06:17:204,2500,13.83
2019/10/27 13:06:17:224,2520,13.66
2019/10/27 13:06:17:244,2540,13.39
2019/10/27 13:06:17:264,2560,13.02
2019/10/27 13:06:17:284,2580,12.63
2019/10/27 13:06:17:304,2600,12.24
2019/10/27 13:06:17:324,2620,11.87
2019/10/27 13:06:17:344,2640,11.5
2019/10/27 13:06:17:364,2660,11.12
2019/10/27 13:06:17:384,2680,10.71
2019/10/27 13:06:17:404,2700,10.33
2019/10/27 13:06:17:424,2720,9.93
2019/10/27 13:06:17:444,2740,9.6
2019/10/27 13:06:17:464,2760,9.26
2019/10/27 13:06:17:484,2780,8.98
2019/10/27 13:06:17:504,2800,8.8
2019/10/27 13:06:17:524,2820,8.65
2019/10/27 13:06:17:544,2840,8.54
2019/10/27 13:06:17:564,2860,8.51
2019/10/27 13:06:17:584,2880,8.6
2019/10/27 13:06:17:604,2900,8.81
2019/10/27 13:06:17:624,2920,9.14
2019/10/27 13:06:17:644,2940,9.55
2019/10/27 13:06:17:664,2960,10.06
2019/10/27 13:06:17:684,2980,10.6
2019/10/27 13:06:17:704,3000,11.15
2019/10/27 13:06:17:724,3020,11.69
2019/10/27 13:06:17:744,3040,12.17
2019/10/27 13:06:17:764,3060,12.57
2019/10/27 13:06:17:784,3080,12.83
2019/10/27 13:06:17:804,3100,12.92
2019/10/27 13:06:17:824,3120,12.8
2019/10/27 13:06:17:844,3140,12.64
2019/10/27 13:06:17:864,3160,12.4
2019/10/27 13:06:17:884,3180,12.1
2019/10/27 13:06:17:904,3200,11.71
2019/10/27 13:06:17:924,3220,11.29
2019/10/27 13:06:17:944,3240,10.85
2019/10/27 13:06:17:964,3260,10.5
2019/10/27 13:06:17:984,3280,10.22
2019/10/27 13:06:18:004,3300,9.99
2019/10/27 13:06:18:024,3320,9.84
2019/10/27 13:06:18:044,3340,9.83
2019/10/27 13:06:18:064,3360,9.84
2019/10/27 13:06:18:084,3380,9.87
2019/10/27 13:06:18:104,3400,9.9
2019/10/27 13:06:18:124,3420,9.92
2019/10/27 13:06:18:144,3440,9.92
2019/10/27 13:06:18:164,3460,9.83
2019/10/27 13:06:18:184,3480,9.72
2019/10/27 13:06:18:204,3500,9.57
2019/10/27 13:06:18:224,3520,9.41
2019/10/27 13:06:18:244,3540,9.23
2019/10/27 13:06:18:264,3560,9.06
2019/10/27 13:06:18:284,3580,8.89
2019/10/27 13:06:18:304,3600,8.78
2019/10/27 13:06:18:324,3620,8.83
2019/10/27 13:06:18:344,3640,8.94
2019/10/27 13:06:18:364,3660,9.11
2019/10/27 13:06:18:384,3680,9.39
2019/10/27 13:06:18:404,3700,9.75
2019/10/27 13:06:18:424,3720,10.18
2019/10/27 13:06:18:444,3740,10.65
2019/10/27 13:06:18:464,3760,11.11
2019/10/27 13:06:18:484,3780,11.56
2019/10/27 13:06:18:504,3800,12.01
2019/10/27 13:06:18:524,3820,12.41
2019/10/27 13:06:18:544,3840,12.79
2019/10/27 13:06:18:564,3860,13.11
2019/10/27 13:06:18:584,3880,13.37
2019/10/27 13:06:18:604,3900,13.57
2019/10/27 13:06:18:624,3920,13.71
2019/10/27 13:06:18:644,3940,13.75
2019/10/27 13:06:18:664,3960,13.72
2019/10/27 13:06:18:684,3980,13.62
2019/10/27 13:06:18:704,4000,13.47
2019/10/27 13:06:18:724,4020,13.28
2019/10/27 13:06:18:744,4040,13.04
2019/10/27 13:06:18:764,4060,12.74
2019/10/27 13:06:18:784,4080,12.48
2019/10/27 13:06:18:804,4100,12.2
2019/10/27 13:06:18:824,4120,11.9
2019/10/27 13:06:18:844,4140,11.63
2019/10/27 13:06:18:864,4160,11.36
2019/10/27 13:06:18:884,4180,11.12
2019/10/27 13:06:18:904,4200,10.91
2019/10/27 13:06:18:924,4220,10.71
2019/10/27 13:06:18:944,4240,10.57
2019/10/27 13:06:18:964,4260,10.47
2019/10/27 13:06:18:984,4280,10.39
2019/10/27 13:06:19:004,4300,10.3
2019/10/27 13:06:19:024,4320,10.2
2019/10/27 13:06:19:044,4340,10.07
2019/10/27 13:06:19:064,4360,9.92
2019/10/27 13:06:19:084,4380,9.72
2019/10/27 13:06:19:104,4400,9.5
2019/10/27 13:06:19:124,4420,9.23
2019/10/27 13:06:19:144,4440,8.94
2019/10/27 13:06:19:164,4460,8.68
2019/10/27 13:06:19:184,4480,8.41
2019/10/27 13:06:19:204,4500,8.16
2019/10/27 13:06:19:224,4520,7.91
2019/10/27 13:06:19:244,4540,7.67
2019/10/27 13:06:19:264,4560,7.5
2019/10/27 13:06:19:284,4580,7.33
2019/10/27 13:06:19:304,4600,7.21
2019/10/27 13:06:19:324,4620,7.18
2019/10/27 13:06:19:344,4640,7.14
2019/10/27 13:06:19:364,4660,7.14
2019/10/27 13:06:19:384,4680,7.12
2019/10/27 13:06:19:404,4700,7.14
2019/10/27 13:06:19:424,4720,7.19
2019/10/27 13:06:19:444,4740,7.27
2019/10/27 13:06:19:464,4760,7.35
2019/10/27 13:06:19:484,4780,7.45
2019/10/27 13:06:19:504,4800,7.59
2019/10/27 13:06:19:524,4820,7.74
2019/10/27 13:06:19:544,4840,7.92
2019/10/27 13:06:19:564,4860,8.1
2019/10/27 13:06:19:584,4880,8.3
2019/10/27 13:06:19:604,4900,8.48
2019/10/27 13:06:19:624,4920,8.66
2019/10/27 13:06:19:644,4940,8.85
2019/10/27 13:06:19:664,4960,9.01
2019/10/27 13:06:19:684,4980,9.17
2019/10/27 13:06:19:704,5000,9.31
2019/10/27 13:06:19:724,5020,9.41
2019/10/27 13:06:19:744,5040,9.48
