Name:,
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_132311
2019/10/27 13:23:11:475,0,10.78
2019/10/27 13:23:11:495,20,10.71
2019/10/27 13:23:11:515,40,10.69
2019/10/27 13:23:11:535,60,10.75
2019/10/27 13:23:11:555,80,10.72
2019/10/27 13:23:11:575,100,10.68
2019/10/27 13:23:11:595,120,10.58
2019/10/27 13:23:11:615,140,10.47
2019/10/27 13:23:11:635,160,10.36
2019/10/27 13:23:11:655,180,10.23
2019/10/27 13:23:11:675,200,10.04
2019/10/27 13:23:11:695,220,9.78
2019/10/27 13:23:11:715,240,9.48
2019/10/27 13:23:11:735,260,9.2
2019/10/27 13:23:11:755,280,8.93
2019/10/27 13:23:11:775,300,8.6
2019/10/27 13:23:11:795,320,8.28
2019/10/27 13:23:11:815,340,7.99
2019/10/27 13:23:11:835,360,7.75
2019/10/27 13:23:11:855,380,7.61
2019/10/27 13:23:11:875,400,7.55
2019/10/27 13:23:11:895,420,7.53
2019/10/27 13:23:11:915,440,7.56
2019/10/27 13:23:11:935,460,7.62
2019/10/27 13:23:11:955,480,7.76
2019/10/27 13:23:11:975,500,7.87
2019/10/27 13:23:11:995,520,7.94
2019/10/27 13:23:12:015,540,7.94
2019/10/27 13:23:12:035,560,7.89
2019/10/27 13:23:12:055,580,7.8
2019/10/27 13:23:12:075,600,7.64
2019/10/27 13:23:12:095,620,7.47
2019/10/27 13:23:12:115,640,7.27
2019/10/27 13:23:12:135,660,7.06
2019/10/27 13:23:12:155,680,6.85
2019/10/27 13:23:12:175,700,6.66
2019/10/27 13:23:12:195,720,6.52
2019/10/27 13:23:12:215,740,6.39
2019/10/27 13:23:12:235,760,6.31
2019/10/27 13:23:12:255,780,6.28
2019/10/27 13:23:12:275,800,6.3
2019/10/27 13:23:12:295,820,6.34
2019/10/27 13:23:12:315,840,6.4
2019/10/27 13:23:12:335,860,6.46
2019/10/27 13:23:12:355,880,6.51
2019/10/27 13:23:12:375,900,6.56
2019/10/27 13:23:12:395,920,6.6
2019/10/27 13:23:12:415,940,6.62
2019/10/27 13:23:12:435,960,6.62
2019/10/27 13:23:12:455,980,6.63
2019/10/27 13:23:12:475,1000,6.61
2019/10/27 13:23:12:495,1020,6.61
2019/10/27 13:23:12:515,1040,6.59
2019/10/27 13:23:12:535,1060,6.55
2019/10/27 13:23:12:555,1080,6.52
2019/10/27 13:23:12:575,1100,6.5
2019/10/27 13:23:12:595,1120,6.48
2019/10/27 13:23:12:615,1140,6.44
2019/10/27 13:23:12:635,1160,6.42
2019/10/27 13:23:12:655,1180,6.39
2019/10/27 13:23:12:675,1200,6.37
2019/10/27 13:23:12:695,1220,6.33
2019/10/27 13:23:12:715,1240,6.32
2019/10/27 13:23:12:735,1260,6.29
2019/10/27 13:23:12:755,1280,6.26
2019/10/27 13:23:12:775,1300,6.24
2019/10/27 13:23:12:795,1320,6.22
2019/10/27 13:23:12:815,1340,6.22
2019/10/27 13:23:12:835,1360,6.22
2019/10/27 13:23:12:855,1380,6.24
2019/10/27 13:23:12:875,1400,6.25
2019/10/27 13:23:12:895,1420,6.27
2019/10/27 13:23:12:915,1440,6.29
2019/10/27 13:23:12:935,1460,6.32
2019/10/27 13:23:12:955,1480,6.34
2019/10/27 13:23:12:975,1500,6.35
2019/10/27 13:23:12:995,1520,6.35
2019/10/27 13:23:13:015,1540,6.34
2019/10/27 13:23:13:035,1560,6.34
2019/10/27 13:23:13:055,1580,6.32
2019/10/27 13:23:13:075,1600,6.28
2019/10/27 13:23:13:095,1620,6.27
2019/10/27 13:23:13:115,1640,6.25
2019/10/27 13:23:13:135,1660,6.25
2019/10/27 13:23:13:155,1680,6.25
2019/10/27 13:23:13:175,1700,6.28
2019/10/27 13:23:13:195,1720,6.33
2019/10/27 13:23:13:215,1740,6.4
2019/10/27 13:23:13:235,1760,6.47
2019/10/27 13:23:13:255,1780,6.54
2019/10/27 13:23:13:275,1800,6.62
2019/10/27 13:23:13:295,1820,6.69
2019/10/27 13:23:13:315,1840,6.77
2019/10/27 13:23:13:335,1860,6.83
2019/10/27 13:23:13:355,1880,6.89
2019/10/27 13:23:13:375,1900,6.91
2019/10/27 13:23:13:395,1920,6.94
2019/10/27 13:23:13:415,1940,6.97
