Name:,
Gender:,Male
Age:,
Disease:,
Datetime:,20191027_133645
2019/10/27 13:36:45:720,0,2.43
2019/10/27 13:36:45:740,20,2.42
2019/10/27 13:36:45:760,40,2.41
2019/10/27 13:36:45:780,60,2.26
2019/10/27 13:36:45:800,80,1.73
2019/10/27 13:36:45:820,100,1.77
2019/10/27 13:36:45:840,120,3.05
2019/10/27 13:36:45:860,140,4.56
2019/10/27 13:36:45:880,160,7.12
2019/10/27 13:36:45:900,180,10.88
2019/10/27 13:36:45:920,200,16.1
2019/10/27 13:36:45:940,220,22.37
2019/10/27 13:36:45:960,240,29.57
2019/10/27 13:36:45:980,260,37.73
2019/10/27 13:36:46:000,280,46.66
2019/10/27 13:36:46:020,300,56.1
2019/10/27 13:36:46:040,320,65.75
2019/10/27 13:36:46:060,340,75.34
2019/10/27 13:36:46:080,360,84.59
2019/10/27 13:36:46:100,380,93.22
2019/10/27 13:36:46:120,400,100
2019/10/27 13:36:46:140,420,100
2019/10/27 13:36:46:160,440,100
2019/10/27 13:36:46:180,460,100
2019/10/27 13:36:46:200,480,100
2019/10/27 13:36:46:220,500,100
2019/10/27 13:36:46:240,520,100
2019/10/27 13:36:46:260,540,100
2019/10/27 13:36:46:280,560,100
2019/10/27 13:36:46:300,580,100
2019/10/27 13:36:46:320,600,0
2019/10/27 13:36:46:340,620,0
2019/10/27 13:36:46:360,640,0
2019/10/27 13:36:46:380,660,0
2019/10/27 13:36:46:400,680,0
2019/10/27 13:36:46:420,700,0
2019/10/27 13:36:46:440,720,0
2019/10/27 13:36:46:460,740,0
2019/10/27 13:36:46:480,760,0
2019/10/27 13:36:46:500,780,0
2019/10/27 13:36:46:520,800,0
2019/10/27 13:36:46:540,820,0
2019/10/27 13:36:46:560,840,0
2019/10/27 13:36:46:580,860,0
2019/10/27 13:36:46:600,880,0
2019/10/27 13:36:46:620,900,0
2019/10/27 13:36:46:640,920,0
2019/10/27 13:36:46:660,940,0
2019/10/27 13:36:46:680,960,0
2019/10/27 13:36:46:700,980,0
2019/10/27 13:36:46:720,1000,0
2019/10/27 13:36:46:740,1020,0
2019/10/27 13:36:46:760,1040,0
2019/10/27 13:36:46:780,1060,0
2019/10/27 13:36:46:800,1080,0
2019/10/27 13:36:46:820,1100,0
2019/10/27 13:36:46:840,1120,0
2019/10/27 13:36:46:860,1140,0
2019/10/27 13:36:46:880,1160,0
2019/10/27 13:36:46:900,1180,0
2019/10/27 13:36:46:920,1200,0
2019/10/27 13:36:46:940,1220,0
2019/10/27 13:36:46:960,1240,0
2019/10/27 13:36:46:980,1260,0
2019/10/27 13:36:47:000,1280,0
2019/10/27 13:36:47:020,1300,0
2019/10/27 13:36:47:040,1320,0
2019/10/27 13:36:47:060,1340,0
2019/10/27 13:36:47:080,1360,0
2019/10/27 13:36:47:100,1380,0
2019/10/27 13:36:47:120,1400,0
2019/10/27 13:36:47:140,1420,0
2019/10/27 13:36:47:160,1440,0
2019/10/27 13:36:47:180,1460,0
2019/10/27 13:36:47:200,1480,0
2019/10/27 13:36:47:220,1500,0
2019/10/27 13:36:47:240,1520,0
2019/10/27 13:36:47:260,1540,0
2019/10/27 13:36:47:280,1560,0
2019/10/27 13:36:47:300,1580,0
2019/10/27 13:36:47:320,1600,0
2019/10/27 13:36:47:340,1620,0
2019/10/27 13:36:47:360,1640,0
2019/10/27 13:36:47:380,1660,0
2019/10/27 13:36:47:400,1680,0
2019/10/27 13:36:47:420,1700,0
2019/10/27 13:36:47:440,1720,0
2019/10/27 13:36:47:460,1740,0
2019/10/27 13:36:47:480,1760,0
2019/10/27 13:36:47:500,1780,0
2019/10/27 13:36:47:520,1800,0
2019/10/27 13:36:47:540,1820,0
